"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"All linked products existed! Nothing to change","All linked products existed! Nothing to change"
"Update Category","Update Category"
"Change Price","Change Price"
"Update Related Products","Update Related Products"
"Update Upsell Products","Update Upsell Products"
"Update Crosssell Products","Update Crosssell Products"
"Copy Custom Options","Copy Custom Options"
"Manage Stock","Manage Stock"
"Update Text","Update Text"
"Change Attribute Set","Change Attribute Set"
"  ","  "
"Assign Categories","Assign Categories"
"E.g. 10,20,30 or 10","E.g. 10,20,30 or 10"
"Select categories","Select categories"
"Remove Categories","Remove Categories"
"Replace Category","Replace Category"
"Old, e.g. 10","Old, e.g. 10"
Select,Select
"New, e.g. 20","New, e.g. 20"
Submit,Submit
"Update Price","Update Price"
"E.g. +10, -10, +10%, -10% or 10","E.g. +10, -10, +10%, -10% or 10"
"Update Special Price","Update Special Price"
"E.g. +10, -10, +10%, -10%, 10 or -10%pp, -10pp","E.g. +10, -10, +10%, -10%, 10 or -10%pp, -10pp"
"Use suffix 'pp' to modify special price based on product price, e.g.","Use suffix 'pp' to modify special price based on product price, e.g."
"Update Cost","Update Cost"
"Add Related Products","Add Related Products"
"Remove Related Products","Remove Related Products"
"Add Up Sell Products","Add Up Sell Products"
"Remove Up Sell Products","Remove Up Sell Products"
"Add Cross Sell Products","Add Cross Sell Products"
"Remove Cross Sell Products","Remove Cross Sell Products"
"Copy Options from Products","Copy Options from Products"
Quantity,Quantity
"Stock Status","Stock Status"
"   ","   "
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Use config settings","Use config settings"
Yes,Yes
No,No
"Out of Stock Threshold","Out of Stock Threshold"
"Use Config Settings for Threshold ","Use Config Settings for Threshold "
Attribute,Attribute
Action,Action
Replace,Replace
Append,Append
"Old Text","Old Text"
"Contains word, digit, -, _ only","Contains word, digit, -, _ only"
"New Text","New Text"
"Append Text","Append Text"
"Append Position ","Append Position "
First,First
Last,Last
"Attribute Set","Attribute Set"
"Select Categories","Select Categories"
"Select Category","Select Category"
"Invalid data, e.g. 10,20,30 or 10","Invalid data, e.g. 10,20,30 or 10"
"Please enter new category","Please enter new category"
"Invalid data, e.g. 10","Invalid data, e.g. 10"
"Please enter old category","Please enter old category"
"Invalid data, e.g. 20","Invalid data, e.g. 20"
"Invalid data, e.g. +10,-10,+10%,-10% or 10","Invalid data, e.g. +10,-10,+10%,-10% or 10"
"Invalid data, e.g. +10,-10,+10%,-10%, 10 or -10%pp, -10pp","Invalid data, e.g. +10,-10,+10%,-10%, 10 or -10%pp, -10pp"
"Invalid data,input must be a number","Invalid data,input must be a number"
"Old text is required","Old text is required"
"Invalid data, input contains word, digit, -, _ only","Invalid data, input contains word, digit, -, _ only"
"Mass  Actions","Mass  Actions"
General,General
"Allow Actions","Allow Actions"
